Threads,Time,Text,Efficiency,Normalized
1,343.199219604492,"T=1, t=343.199s",1.16129032258065,1.16129032258065
2,173.541070638021,"T=2, t=173.541s",2.29659717425189,1.14829858712595
3,122.11577154541,"T=3, t=122.116s",3.26373839676982,1.08791279892327
4,97.0937907226563,"T=4, t=97.094s",4.10483440266924,1.02620860066731
5,85.3218263753255,"T=5, t=85.322s",4.67118379171482,0.934236758342964
6,67.3662594168527,"T=6, t=67.366s",5.91622476732354,0.98603746122059
7,62.8387854614258,"T=7, t=62.839s",6.34248306228934,0.906069008898477
8,54.1995936414931,"T=8, t=54.200s",7.353448719195,0.919181089899375
9,53.63405625,"T=9, t=53.634s",7.43098621118977,0.825665134576641
10,48.2204126220703,"T=10, t=48.220s",8.26525346366509,0.826525346366509
11,45.7245762939453,"T=11, t=45.725s",8.71640515336392,0.792400468487629
12,42.9818916503906,"T=12, t=42.982s",9.27260102197722,0.772716751831435
13,40.5346130859375,"T=13, t=40.535s",9.83243460592436,0.756341123532643
14,42.1974689941406,"T=14, t=42.197s",9.44497245792794,0.674640889851996
15,40.5935721679688,"T=15, t=40.594s",9.81815374105988,0.654543582737325
16,41.6148988769531,"T=16, t=41.615s",9.57719334179737,0.598574583862336
17,39.9517966796875,"T=17, t=39.952s",9.97587006259874,0.58681588603522
18,42.8625352539063,"T=18, t=42.863s",9.29842180549982,0.516578989194434
19,39.922526171875,"T=19, t=39.923s",9.98318419851656,0.525430747290345
20,43.4721310546875,"T=20, t=43.472s",9.16803300814836,0.458401650407418
21,39.2841635498047,"T=21, t=39.284s",10.1454096620547,0.48311474581213
22,38.1578616455078,"T=22, t=38.158s",10.4448707358539,0.474766851629723
23,37.9342137695313,"T=23, t=37.934s",10.5064503212149,0.456802187878909
24,38.1975939453125,"T=24, t=38.198s",10.4340062103005,0.43475025876252
25,37.0276335449219,"T=25, t=37.028s",10.7636890151352,0.430547560605407
26,36.1467015380859,"T=26, t=36.147s",11.0260111015659,0.424077350060229
27,34.6429739501953,"T=27, t=34.643s",11.5046108055535,0.426096696501983
28,35.8661930664062,"T=28, t=35.866s",11.1122452195025,0.396865900696518
29,35.1259279296875,"T=29, t=35.126s",11.3464314235832,0.391256255985629
30,35.18830234375,"T=30, t=35.188s",11.3263188587646,0.37754396195882
31,33.5789502685547,"T=31, t=33.579s",11.8691599724353,0.382876128143076
32,32.5286293945313,"T=32, t=32.529s",12.2524047235428,0.382887647610711
33,32.8055317138672,"T=33, t=32.806s",12.1489856015793,0.368151078835737
34,34.0098669189453,"T=34, t=34.010s",11.7187736545335,0.344669813368632
35,33.7746942626953,"T=35, t=33.775s",11.800371288161,0.337153465376029
36,33.1855318359375,"T=36, t=33.186s",12.0098702776347,0.333607507712076
37,32.9777784912109,"T=37, t=32.978s",12.0855300350249,0.326635946892564
38,32.4966551269531,"T=38, t=32.497s",12.264460169421,0.322748951826868
39,33.1619295898438,"T=39, t=33.162s",12.0184180285453,0.308164564834494
40,33.6362204589844,"T=40, t=33.636s",11.848951130818,0.29622377827045
41,33.1577915527344,"T=41, t=33.158s",12.0199179070797,0.293168729440967
42,33.4116098876953,"T=42, t=33.412s",11.9286060678777,0.284014430187565
43,33.5905745605469,"T=43, t=33.591s",11.8650525529277,0.27593145471925
44,33.3520788085938,"T=44, t=33.352s",11.949897777923,0.271588585861886
45,34.0570525634766,"T=45, t=34.057s",11.7025374318899,0.260056387375331
46,33.912459765625,"T=46, t=33.912s",11.7524336246442,0.255487687492266
47,34.7885126220703,"T=47, t=34.789s",11.4564809589209,0.243754914019593
48,34.2984184326172,"T=48, t=34.298s",11.6201839809881,0.242087166270586
49,34.7284989257813,"T=49, t=34.728s",11.4762786982438,0.234209769351914
50,34.2693558837891,"T=50, t=34.269s",11.6300386209611,0.232600772419222
51,35.0994092529297,"T=51, t=35.099s",11.3550039994095,0.222647137243323
52,35.0057732177734,"T=52, t=35.006s",11.3853772051968,0.2189495616384
53,35.1140625,"T=53, t=35.114s",11.3502655081259,0.214155952983507
54,35.7503678955078,"T=54, t=35.750s",11.1482470224875,0.206449018934953
55,35.5760327148438,"T=55, t=35.576s",11.2028773876642,0.203688679775714
56,37.7020546875,"T=56, t=37.702s",10.5711462080093,0.188770468000167
