Threads,Time,Text,Efficiency,Normalized
1,363.014593505859,"T=1, t=363.015s",1,1.16129032258065
2,225.839255371094,"T=2, t=225.839s",1.60740254350096,0.933330509129591
3,174.670972717285,"T=3, t=174.671s",2.07827658974236,0.804494163771234
4,153.272946142578,"T=4, t=153.273s",2.36841923275993,0.687605583704497
5,136.288222607422,"T=5, t=136.288s",2.66358006994869,0.618637951730018
6,128.514399267578,"T=6, t=128.514s",2.824699765744,0.546716083692388
7,124.032009228516,"T=7, t=124.032s",2.92678152812186,0.485549009273672
8,121.834910009766,"T=8, t=121.835s",2.97956138742797,0.432516975594383
9,120.769225341797,"T=9, t=120.769s",3.0058534571077,0.387852058981639
10,121.98942421875,"T=10, t=121.989s",2.97578741625099,0.345575312854953
11,123.787754736328,"T=11, t=123.788s",2.93255657055168,0.309595415072905
12,127.099381689453,"T=12, t=127.099s",2.85614759631819,0.276401380288857
13,130.701604541016,"T=13, t=130.702s",2.77743027547869,0.248107915427376
14,135.524127246094,"T=14, t=135.524s",2.67859753744566,0.222187814166
15,159.652565625,"T=15, t=159.653s",2.2737786397904,0.176034475338611
16,172.939901318359,"T=16, t=172.940s",2.09907945325815,0.152352540962285
17,180.665513037109,"T=17, t=180.666s",2.00931869842417,0.137258962321196
18,185.554652539063,"T=18, t=185.555s",1.95637559359736,0.126217780232087
19,191.719988183594,"T=19, t=191.720s",1.89346242374181,0.11572945204534
20,196.720124755859,"T=20, t=196.720s",1.84533531562356,0.107148502197497
21,201.039643798828,"T=21, t=201.040s",1.80568661307972,0.099853637589662
22,205.531770654297,"T=22, t=205.532s",1.76622131143145,0.0932316234773197
23,210.200179052734,"T=23, t=210.200s",1.72699469211578,0.0871974879609652
24,214.571771191406,"T=24, t=214.572s",1.69180965180194,0.0818617573452553
25,220.996986230469,"T=25, t=220.997s",1.64262237100051,0.0763024585238946
26,225.879350341797,"T=26, t=225.879s",1.60711721968631,0.0717819105567088
27,230.908904003906,"T=27, t=230.909s",1.57211171683409,0.0676177082509286
28,237.848899072266,"T=28, t=237.849s",1.52624037749094,0.0633002921540022
29,242.605946582031,"T=29, t=242.606s",1.49631366675142,0.0599191234739169
30,246.817676953125,"T=30, t=246.818s",1.47078036705937,0.0569334335635887
31,251.798118554688,"T=31, t=251.798s",1.44168906260917,0.0540070824702706
32,259.163052685547,"T=32, t=259.163s",1.40071892865963,0.0508325417658738
33,264.514405810547,"T=33, t=264.514s",1.37238118428174,0.0482949390363076
34,269.391535595703,"T=34, t=269.392s",1.34753526202346,0.0460258723271772
35,274.255508789063,"T=35, t=274.256s",1.32363646990611,0.0439178920890507
36,281.357449316406,"T=36, t=281.357s",1.29022563428781,0.0416201817512195
37,286.765481054688,"T=37, t=286.765s",1.26589362210102,0.0397316219665533
38,292.611048144531,"T=38, t=292.611s",1.24060453563788,0.0379132116154191
39,298.242024316406,"T=39, t=298.242s",1.21718122835947,0.0362436097774533
40,305.150218261719,"T=40, t=305.150s",1.18962586877297,0.0345375252224411
41,311.171232128906,"T=41, t=311.171s",1.16660717966202,0.033043161658405
42,320.853664794922,"T=42, t=320.854s",1.13140235981997,0.0312830145572341
43,342.141341601563,"T=43, t=342.141s",1.06100768707631,0.0286543711438463
44,349.702734375,"T=44, t=349.703s",1.03806621402218,0.0273976420123155
45,354.341828027344,"T=45, t=354.342s",1.02447570338167,0.026438082667914
46,360.371951855469,"T=46, t=360.372s",1.00733309470058,0.0254305690106739
47,366.564157958984,"T=47, t=366.564s",0.990316662510353,0.024469045882205
48,373.736087402344,"T=48, t=373.736s",0.971312660837747,0.0234994998589778
49,380.194336425781,"T=49, t=380.194s",0.954813259236239,0.0226288856698516
50,384.972327148438,"T=50, t=384.972s",0.942962825912129,0.0219010720857011
51,392.518055322266,"T=51, t=392.518s",0.92483540205002,0.0210588706349151
52,397.841712695313,"T=52, t=397.842s",0.912459860094848,0.0203775154859892
53,405.161620263672,"T=53, t=405.162s",0.895974779816548,0.0196318271901374
54,412.409580322266,"T=54, t=412.410s",0.880228323556868,0.0189296413668144
55,430.151697705078,"T=55, t=430.152s",0.843922261477974,0.017818886459359
56,443.266628417969,"T=56, t=443.267s",0.818953131665853,0.0169828990437619
